,ParticipantID,ArrayDistance,AngularDistance,ClipName,RT
66,85fd132a-db17-4c66-981a-4d73f9b44f0d,0,157.311616060991,auralisation_Cube (1)_singing,True
67,920fb7a7-1b23-4ccd-8a68-76cb7df66ee6,0,157.311616060991,singing,False
68,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,0,157.311616060991,drums,False
69,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,arp,False
70,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,auralisation_Cube (1)_drums,True
71,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,drums,False
72,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,auralisation_Cube (1)_arp,True
73,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,singing,False
74,b5449b2d-4aef-4e11-85d9-e9567174e642,0,157.311616060991,auralisation_Cube (1)_singing,True
75,73689cbc-399e-48dd-ae61-3538674aca5c,0,156.8207412178558,drums,False
76,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,0,156.4475438615918,drums,False
77,37f9fa31-ce6a-40ec-b9ca-d2c496e04251,0,156.4475438615918,singing,False
78,59b9372d-b6cd-48b1-a232-477500e50550,0,156.4475438615918,drums,False
79,59b9372d-b6cd-48b1-a232-477500e50550,0,156.4475438615918,arp,False
80,59b9372d-b6cd-48b1-a232-477500e50550,0,156.4475438615918,singing,False
81,9631acd0-884d-4d77-84f4-c9553ff2ed03,0,156.4475438615918,drums,False
82,784eb3bf-e5fe-4c63-ba93-2032f35dd312,0,154.2994834325057,singing,False
83,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,0,154.2994834325057,drums,False
84,73689cbc-399e-48dd-ae61-3538674aca5c,0,149.461163313142,singing,False
85,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,0,149.461163313142,singing,False
86,e429643b-026c-409e-8862-c18ea8e77688,0,149.461163313142,arp,False
87,e429643b-026c-409e-8862-c18ea8e77688,0,149.461163313142,drums,False
88,73689cbc-399e-48dd-ae61-3538674aca5c,0,148.4285939779946,singing,False
89,920fb7a7-1b23-4ccd-8a68-76cb7df66ee6,0,148.4285939779946,arp,False
90,b5449b2d-4aef-4e11-85d9-e9567174e642,0,148.4285939779946,arp,False
91,b5449b2d-4aef-4e11-85d9-e9567174e642,0,148.4285939779946,singing,False
92,b5449b2d-4aef-4e11-85d9-e9567174e642,0,148.4285939779946,drums,False
93,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,0,148.427073014064,drums,False
94,b03e2ea8-f196-4204-9b40-b8ba43484c2b,0,132.5092483176208,singing,False
95,784eb3bf-e5fe-4c63-ba93-2032f35dd312,0,130.3331591292904,auralisation_Cube (1)_singing,True
96,c30e6318-1a96-4169-a902-41021481cc9c,0,130.3331591292904,auralisation_Cube (1)_singing,True
97,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,0,128.3376048859635,arp,False
98,59b9372d-b6cd-48b1-a232-477500e50550,0,128.3376048859635,singing,False
99,59b9372d-b6cd-48b1-a232-477500e50550,0,128.3376048859635,arp,False
100,59b9372d-b6cd-48b1-a232-477500e50550,0,128.3376048859635,drums,False
101,b03e2ea8-f196-4204-9b40-b8ba43484c2b,0,128.3376048859635,drums,False
102,b03e2ea8-f196-4204-9b40-b8ba43484c2b,0,128.3376048859635,arp,False
103,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,0,127.9318195990685,auralisation_Cube (3)_singing,True
104,0d658785-bb96-4cb5-bb04-afa0f4d7ca2b,0,127.9318195990685,drums,False
105,593c5728-896e-456a-b8b7-4c15a2868049,0,127.9318195990685,drums,False
106,73689cbc-399e-48dd-ae61-3538674aca5c,0,127.9318195990685,auralisation_Cube (3)_singing,True
107,784eb3bf-e5fe-4c63-ba93-2032f35dd312,0,127.9318195990685,auralisation_Cube (3)_singing,True
108,cdb655c9-c5c1-46f1-b66c-18856c35c627,1,125.8918152033678,auralisation_Cube (2)_drums,True
109,cdb655c9-c5c1-46f1-b66c-18856c35c627,1,125.4862948943107,arp,False
110,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,2,123.1599896950264,auralisation_Cube (4)_drums,True
111,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,2,123.1599896950264,drums,False
112,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,2,123.1599896950264,auralisation_Cube (4)_singing,True
113,784eb3bf-e5fe-4c63-ba93-2032f35dd312,2,123.1535803235242,drums,False
114,920fb7a7-1b23-4ccd-8a68-76cb7df66ee6,2,123.1535803235242,auralisation_Cube (4)_arp,True
115,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,2,122.9554587797865,arp,False
116,0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,2,122.9554587797865,singing,False
117,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,auralisation_Cube (6)_drums,True
118,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,drums,False
119,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,auralisation_Cube (6)_singing,True
120,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,auralisation_Cube (6)_arp,True
121,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,singing,False
122,b5449b2d-4aef-4e11-85d9-e9567174e642,2,122.9554587797865,arp,False
123,c429a3d9-8768-4156-9f76-398453963e10,2,122.9554587797865,auralisation_Cube (6)_drums,True
124,cdb655c9-c5c1-46f1-b66c-18856c35c627,2,122.8178000849871,singing,False
125,0d658785-bb96-4cb5-bb04-afa0f4d7ca2b,1,122.5433845587967,arp,False
126,0d658785-bb96-4cb5-bb04-afa0f4d7ca2b,1,122.5433845587967,auralisation_Cube (3)_drums,True
127,784eb3bf-e5fe-4c63-ba93-2032f35dd312,1,122.5433845587967,drums,False
128,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,1,122.538342445532,drums,False
129,aabe45b8-9e9a-4552-b5a2-d24e70d21d0f,1,122.2135799837034,drums,False
