ParticipantID,ArrayDistance,AngularDistance,Timestamp,ClipName,RT
b5449b2d-4aef-4e11-85d9-e9567174e642,Near,56.44,2023-06-02T11:42:06+01:00,auralisation_Cube (3)_singing,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Near,56.44,2023-06-02T11:42:19+01:00,auralisation_Cube (3)_drums,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Medium,61.09,2023-06-02T11:42:39+01:00,auralisation_Cube (3)_singing,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Far,61.43,2023-06-02T11:44:21+01:00,auralisation_Cube (5)_arp,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Near,157.31,2023-06-02T11:42:04+01:00,auralisation_Cube (1)_singing,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Medium,179.18,2023-06-02T11:43:07+01:00,auralisation_Cube (1)_drums,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Far,2.51,2023-06-02T11:43:40+01:00,auralisation_Cube (4)_arp,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Near,157.31,2023-06-02T11:41:55+01:00,auralisation_Cube (1)_drums,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Near,105.86,2023-06-02T11:42:14+01:00,auralisation_Cube (2)_singing,TRUE
b5449b2d-4aef-4e11-85d9-e9567174e642,Far,61.43,2023-06-02T11:44:23+01:00,auralisation_Cube (5)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:33:10+01:00,auralisation_Cube (2)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,61.72,2023-06-27T13:35:09+01:00,auralisation_Cube (5)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.37,2023-06-27T13:34:59+01:00,auralisation_Cube (4)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:26:50+01:00,auralisation_Cube (2)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:22:51+01:00,auralisation_Cube (1)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:18:15+01:00,auralisation_Cube (1)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:20:45+01:00,auralisation_Cube (3)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,51.33,2023-06-27T13:17:27+01:00,auralisation_Cube (2)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,104.60,2023-06-27T13:22:05+01:00,auralisation_Cube (2)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:26:06+01:00,auralisation_Cube (1)_drums,TRUE
